,Year,Month,Date,Time,Minute,Air Temperature,Previous Day Average,Two Days Before Average,Three Days Before Average,Last 7 Days Average
0,2021,07,02,10,20,23.2,23.2,22.8,22.7,22.35
1,2021,07,04,09,51,23.6,23.6,22.5,23.2,22.6875
2,2021,07,03,10,20,22.5,22.5,23.2,22.8,22.512500000000003
3,2021,07,05,10,10,22.9,22.9,23.6,22.5,22.675
4,2021,07,07,09,50,22.2,22.2,22.5,22.9,22.8
5,2021,07,06,10,00,22.5,22.5,22.9,23.6,22.7875
6,2021,07,01,10,10,22.8,22.8,22.7,22.1,22.012500000000003
7,2020,07,07,00,00,22.3,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
8,2020,07,07,00,10,22.2,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
9,2020,07,07,00,40,22.1,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
10,2020,07,07,00,20,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
11,2020,07,07,01,10,21.6,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
12,2020,07,07,01,30,21.8,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
13,2020,07,07,01,00,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
14,2020,07,07,00,30,22.4,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
15,2020,07,07,00,50,21.8,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
16,2020,07,07,01,20,22.3,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
17,2020,07,07,01,40,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
18,2020,07,07,01,50,21.5,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
19,2020,07,07,02,10,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
20,2020,07,07,02,00,21.5,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
21,2020,07,07,02,20,22.1,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
22,2020,07,07,02,30,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
23,2020,07,07,02,40,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
24,2020,07,07,03,00,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
25,2020,07,07,02,50,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
26,2020,07,07,03,50,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
27,2020,07,07,03,30,22.2,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
28,2020,07,07,03,20,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
29,2020,07,07,03,40,22.1,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
30,2020,07,07,04,00,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
31,2020,07,07,03,10,21.8,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
32,2020,07,07,04,30,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
33,2020,07,07,04,40,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
34,2020,07,07,04,50,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
35,2020,07,07,05,00,21.8,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
36,2020,07,07,05,10,22.4,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
37,2020,07,07,04,10,21.8,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
38,2020,07,07,04,20,22.0,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
39,2020,07,07,05,20,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
40,2020,07,07,05,50,21.5,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
41,2020,07,07,05,30,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
42,2020,07,07,05,40,21.9,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
43,2020,07,07,06,00,21.7,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
44,2020,07,07,06,20,21.4,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
45,2020,07,07,06,40,22.2,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
46,2020,07,07,07,10,22.2,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
47,2020,07,07,06,50,22.1,22.224615384615383,22.285384615384615,22.155384615384612,22.371152826162003
